151	0	23	57	55
332	6	95	70	73
705	36	158	68	92
535	2	217	45	87
420	0	127	62	34
379	2	145	72	76
202	9	183	39	36
488	0	253	74	92
560	111	349	75	45
340	70	302	66	31
206	0	64	57	55
310	0	54	70	73
594	2	166	68	92
566	6	303	45	87
440	3	221	62	34
313	0	165	72	76
347	0	294	39	36
578	0	304	74	92
358	52	296	75	45
480	59	310	66	31
409	0	142	57	55
527	5	152	70	73
468	12	137	68	92
395	22	153	45	87
411	5	139	62	34
594	0	158	72	76
214	0	153	39	36
357	0	197	74	92
571	110	351	75	45
552	93	361	66	31
163	0	31	57	55
421	3	180	70	73
368	24	109	68	92
611	4	117	45	87
417	1	147	62	34
415	0	264	72	76
255	0	259	39	36
499	13	266	74	92
447	84	333	75	45
555	274	497	66	31
188	0	50	57	55
197	0	44	70	73
646	0	220	68	92
304	2	94	45	87
521	5	178	62	34
623	0	365	72	76
549	0	407	39	36
598	0	451	74	92
418	69	345	75	45
355	87	302	66	31
210	0	72	57	55
239	3	91	70	73
584	7	98	68	92
402	15	201	45	87
619	4	125	62	34
423	0	240	72	76
297	4	239	39	36
552	0	192	74	92
431	39	314	75	45
314	107	337	66	31
210	0	67	57	55
244	8	86	70	73
576	0	93	68	92
399	13	196	45	87
622	8	120	62	34
412	0	245	72	76
292	0	234	39	36
552	0	186	74	92
418	26	308	75	45
306	99	331	66	31
163	0	30	57	55
276	6	80	70	73
471	37	134	68	92
622	3	303	45	87
492	0	145	62	34
518	0	105	72	76
344	0	328	39	36
590	62	390	74	92
393	9	241	75	45
476	17	277	66	31
288	0	145	57	55
207	0	41	70	73
534	2	146	68	92
375	7	130	45	87
328	4	150	62	34
442	0	209	72	76
435	0	289	39	36
518	0	204	74	92
414	221	402	75	45
514	291	499	66	31
238	0	96	57	55
280	6	113	70	73
383	14	128	68	92
640	25	140	45	87
361	8	144	62	34
564	0	123	72	76
340	3	231	39	36
436	0	295	74	92
528	182	424	75	45
544	184	466	66	31
