406	0	94	57	55
560	6	146	70	73
586	12	122	68	92
585	11	133	45	87
586	2	239	62	34
572	0	146	72	76
556	0	293	39	36
548	2	258	74	92
544	24	287	75	45
534	14	331	66	31
453	0	86	57	55
512	0	71	70	73
560	1	88	68	92
565	6	114	45	87
550	2	142	62	34
550	0	205	72	76
534	0	259	39	36
531	0	194	74	92
514	9	236	75	45
509	4	286	66	31
508	0	92	57	55
558	5	111	70	73
555	3	129	68	92
593	5	104	45	87
564	4	150	62	34
570	0	164	72	76
559	6	278	39	36
562	0	241	74	92
551	15	270	75	45
532	5	290	66	31
406	0	92	57	55
558	3	146	70	73
582	7	126	68	92
578	3	132	45	87
574	0	150	62	34
566	0	242	72	76
561	0	285	39	36
550	9	260	74	92
544	29	289	75	45
531	16	334	66	31
455	0	95	57	55
499	0	77	70	73
554	0	96	68	92
557	2	122	45	87
559	5	137	62	34
557	6	208	72	76
537	0	260	39	36
532	1	198	74	92
512	7	241	75	45
525	20	291	66	31
449	0	104	57	55
515	3	83	70	73
565	6	105	68	92
574	15	186	45	87
589	4	207	62	34
559	0	185	72	76
546	0	236	39	36
553	0	190	74	92
555	11	250	75	45
533	10	250	66	31
452	0	96	57	55
507	8	78	70	73
554	0	97	68	92
568	13	154	45	87
562	8	197	62	34
551	0	209	72	76
544	0	254	39	36
550	0	180	74	92
522	0	225	75	45
526	4	275	66	31
406	0	91	57	55
560	6	141	70	73
587	13	119	68	92
586	12	130	45	87
588	4	234	62	34
575	2	199	72	76
559	0	285	39	36
551	0	248	74	92
549	24	277	75	45
539	14	321	66	31
452	0	84	57	55
512	0	69	70	73
560	1	86	68	92
566	7	112	45	87
551	3	140	62	34
552	0	201	72	76
536	0	255	39	36
534	3	192	74	92
517	12	234	75	45
513	8	284	66	31
543	0	89	57	55
561	6	125	70	73
559	5	134	68	92
570	0	143	45	87
569	0	178	62	34
576	0	190	72	76
565	3	275	39	36
569	8	234	74	92
538	3	263	75	45
540	5	311	66	31
