405	0	29	57	55
509	0	391	70	73
641	14	436	68	92
361	6	147	45	87
305	0	251	62	34
466	0	339	72	76
122	0	155	39	36
487	312	471	74	92
285	10	248	75	45
158	7	214	66	31
405	0	29	57	55
509	0	391	70	73
641	14	436	68	92
361	6	147	45	87
305	0	251	62	34
466	0	339	72	76
122	0	155	39	36
487	312	471	74	92
285	10	248	75	45
158	7	214	66	31
429	0	17	57	55
534	10	402	70	73
650	9	409	68	92
406	6	131	45	87
254	4	183	62	34
385	0	323	72	76
174	0	149	39	36
536	342	497	74	92
288	0	294	75	45
205	11	242	66	31
427	0	47	57	55
543	26	170	70	73
639	0	372	68	92
298	5	163	45	87
318	4	245	62	34
419	0	351	72	76
103	0	131	39	36
502	355	482	74	92
340	18	307	75	45
196	22	260	66	31
168	0	32	57	55
517	0	379	70	73
644	12	462	68	92
383	1	82	45	87
184	0	142	62	34
378	0	214	72	76
275	0	191	39	36
528	338	496	74	92
323	21	335	75	45
185	8	239	66	31
170	0	22	57	55
525	8	374	70	73
638	6	464	68	92
383	1	77	45	87
200	4	144	62	34
390	0	202	72	76
179	0	138	39	36
531	341	493	74	92
312	131	311	75	45
159	6	214	66	31
356	0	46	57	55
469	14	323	70	73
648	14	392	68	92
471	0	84	45	87
266	4	212	62	34
461	0	295	72	76
186	0	177	39	36
551	279	413	74	92
368	17	322	75	45
148	1	211	66	31
363	0	46	57	55
501	19	357	70	73
588	6	394	68	92
537	0	109	45	87
286	0	181	62	34
371	1	249	72	76
144	0	131	39	36
545	309	426	74	92
382	4	332	75	45
177	15	228	66	31
158	0	33	57	55
459	0	314	70	73
642	15	350	68	92
506	0	141	45	87
155	0	137	62	34
417	2	190	72	76
160	0	135	39	36
451	255	392	74	92
386	111	312	75	45
209	29	246	66	31
160	0	22	57	55
467	11	315	70	73
636	9	346	68	92
506	0	137	45	87
160	0	127	62	34
408	0	193	72	76
157	0	134	39	36
454	258	388	74	92
374	99	308	75	45
203	23	242	66	31
139	0	51	57	55
533	37	131	70	73
649	2	399	68	92
405	0	116	45	87
150	0	124	62	34
475	2	386	72	76
198	0	190	39	36
464	237	369	74	92
374	110	316	75	45
143	3	221	66	31
