660	0	174	57	55
566	6	127	70	73
479	28	85	68	92
557	11	213	45	87
689	0	216	62	34
446	2	134	72	76
685	0	320	39	36
357	0	207	74	92
654	22	313	75	45
618	12	402	66	31
713	0	158	57	55
567	0	124	70	73
464	1	68	68	92
550	15	206	45	87
707	1	219	62	34
428	0	137	72	76
556	0	298	39	36
350	0	196	74	92
625	9	296	75	45
593	4	389	66	31
649	0	267	57	55
566	5	111	70	73
471	3	65	68	92
560	5	159	45	87
684	3	221	62	34
433	0	142	72	76
683	0	319	39	36
366	0	193	74	92
656	15	301	75	45
611	5	399	66	31
660	0	176	57	55
563	3	133	70	73
474	23	87	68	92
549	3	214	45	87
698	0	209	62	34
433	0	147	72	76
689	0	318	39	36
358	0	207	74	92
653	20	314	75	45
614	7	403	66	31
710	0	234	57	55
588	0	99	70	73
456	0	74	68	92
507	2	171	45	87
714	5	205	62	34
433	0	132	72	76
557	0	293	39	36
349	0	197	74	92
621	6	310	75	45
607	19	390	66	31
712	0	174	57	55
570	3	118	70	73
469	6	84	68	92
559	24	249	45	87
719	13	235	62	34
443	0	138	72	76
574	0	296	39	36
372	0	190	74	92
649	11	290	75	45
621	10	383	66	31
692	0	213	57	55
524	8	87	70	73
636	0	174	68	92
685	13	268	45	87
695	8	224	62	34
367	0	125	72	76
655	0	341	39	36
294	0	153	74	92
614	2	325	75	45
450	6	324	66	31
720	0	158	57	55
595	6	144	70	73
480	29	91	68	92
528	12	180	45	87
713	0	227	62	34
449	0	128	72	76
571	0	295	39	36
360	0	200	74	92
650	24	298	75	45
613	14	391	66	31
712	0	156	57	55
567	0	119	70	73
464	1	66	68	92
551	16	201	45	87
708	2	217	62	34
430	0	133	72	76
558	0	294	39	36
353	0	191	74	92
628	9	291	75	45
597	5	384	66	31
709	0	202	57	55
596	6	133	70	73
473	5	72	68	92
533	8	130	45	87
709	6	235	62	34
437	0	138	72	76
570	0	294	39	36
371	0	188	74	92
632	0	301	75	45
607	2	383	66	31
